PAM50 mRNA,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
HER2_enriched,-0.20681979,0.8523041,2.265739219,-0.862105075,-0.70590335,1.09994098,-0.47731546,0.216067806,1.218044723,-0.275396157,-0.900203056,-1.102122359,-1.151649735,9.668177053,0.402747916,-0.843056084,0.654194595,0.890402081,0.147491439,-2.210773625,-3.292756304,-1.795505625,-1.262133882,-0.309684341,-0.157292414,-1.067834176,1.301860283,0.985647035,-0.33254313,-0.462076267,0.562759439,-2.203154029,0.379889127,-1.719309662,-0.831626689,0.204638411,2.482897714,-0.542082029,0.962788246,-1.730739056,-3.273707313,0.932309861,-0.854485478,0.58180843,-2.645090616,0.075105274,-0.404929295,0.45608509,-1.033545992,-1.124981148,5.043082081,2.395272356,-2.850819717,0.216067806,-2.713666983,1.000886228
Basal_like,0.889593583,0.05168223,0.74791775,-0.272148244,4.306005086,1.015077891,1.500823603,-0.964335883,0.011203421,-0.527164742,-1.162682048,-0.25595672,-2.207035328,0.197405944,1.245807104,0.367416943,2.136340909,0.719582584,-0.061658436,3.53690771,-1.397459142,-0.948144359,-0.968383764,-1.008862573,1.436057508,-0.4300156,0.541475823,0.654816489,0.691247417,-0.292387649,-0.033323269,-0.12642453,0.711486822,-0.709319384,-0.199286387,0.326938134,-0.009035984,2.62208662,3.528811948,-0.850995217,-2.899222967,-0.280244006,0.128591968,1.432009627,-4.295741887,0.011203421,-1.725337497,-0.417871957,-2.543009445,-0.612170242,-1.56342226,1.071748224,-0.5150211,1.249854985,-1.332693047,-0.446207124
Luminal_B,-2.8714642,0.401646448,-3.267784964,0.271387175,-2.076051198,-0.019617582,-0.352194447,-0.058418216,0.199328855,0.315730757,0.063526635,1.258031875,1.909328236,-1.49127021,-2.386456272,0.03858337,0.634450253,-0.914803644,0.215957698,-2.466829014,0.97534154,0.315730757,0.348988444,-0.532340249,-0.152648328,0.75362363,0.135584955,0.412732343,-0.820573532,-0.008531686,0.07461253,-2.001221403,0.440447082,-1.460783997,-0.075047059,-0.701400155,0.43213266,1.629409375,-2.497315227,0.005325683,-0.632113308,-0.016846108,-1.21966577,0.440447082,0.80351016,0.24644391,0.620592884,-1.915305713,3.6636712,1.601694636,-0.366051816,-0.346651499,-0.199763384,0.118956112,-3.331528863,-0.779001424
Basal_like,-1.604474788,-0.51053492,3.172730509,0.322465164,4.052565939,-0.741366268,1.028340736,-0.523916447,0.051489233,-0.671113249,3.610975533,-0.513880301,-2.136390504,-5.187378761,-1.922286065,0.222103708,2.282858934,0.596786476,0.486388875,2.393256536,-0.192723643,0.088288434,0.218758326,0.974814627,-0.316502772,-1.065868308,-0.29643048,-1.564330206,1.827887001,-0.875181542,0.289011345,0.784127861,1.185573684,1.158810629,-0.423554991,-0.179342115,-0.34995659,0.188649889,-1.119394418,-0.922016888,-3.103205862,0.342537455,-1.915595301,-2.601398583,-3.812426816,-1.433860313,-0.751402414,-0.584133321,-5.230868725,-1.055832163,-2.808812258,1.446513469,-0.965506853,0.830963207,2.246059734,0.074906906
HER2_enriched,-1.120514534,0.571897801,-0.897483451,0.899884687,-1.832246078,0.653894522,-0.448141417,0.617815965,-0.736769877,-0.822046467,-1.025398337,-0.585895909,-1.300907322,-2.960520968,-2.422622474,-0.326786269,-0.366144695,0.270149865,1.185233279,1.447622788,0.499740686,-0.569496565,-0.631814073,-1.979840177,-0.182472038,-1.409142995,-0.09063571,-0.346465482,-1.153313223,1.582097412,0.407904357,1.418103968,-0.382544039,-0.310386924,0.266869996,-1.241869682,-1.304187191,-0.933562009,1.060598262,-0.320226531,-0.43830181,0.503020555,1.218031967,0.178313537,-0.405503121,-0.828606205,-2.097915456,-0.999159386,1.64441492,0.076637602,0.34230698,1.004840491,-2.055277161,0.650614654,-0.710530926,0.621095834
HER2_enriched,1.276625018,0.153883294,1.254682183,1.905652955,-1.872171803,0.303826,-0.862801394,2.253081176,1.499710507,0.12828332,-1.923371752,-1.107829718,-0.987144125,-0.504401755,-2.625542471,0.270911748,0.17216899,-0.676287296,-0.321544797,-3.016856362,-6.015710478,-0.467830364,-0.391030441,0.292854583,0.175826129,-0.007030829,1.404624889,-0.343487632,-0.818915724,1.814224476,1.938567207,-1.038344074,-0.383716163,-0.497087477,0.029540563,0.943825354,-0.672630157,-1.36017232,4.004850836,-1.908743195,0.263597469,0.929196798,-0.647030183,0.856054014,0.728054143,0.376968784,-1.385772294,0.08805479,0.793882648,-0.076516473,1.733767414,0.168511851,-1.674686288,-0.756744358,-0.782344332,0.519597211
Luminal_A,-0.334097393,-0.770650136,0.260517549,0.587932106,-2.456646935,0.316968335,-0.699145807,-0.823337536,0.629329349,-0.303990307,2.115866705,-0.281409993,0.279334478,-3.894260277,-3.284591791,1.363189563,-0.97763635,0.222883692,-0.164745036,-0.943765878,-2.020094192,0.429869907,0.636856121,1.844902934,0.930400206,1.491144677,-0.52979345,-0.657748564,-0.428182036,-1.805581206,-0.428182036,2.413174177,2.590053305,-0.631404864,0.252990778,-0.488396207,-1.067957607,0.15514275,-0.435708807,0.061058107,-3.254484706,-0.16098165,-1.448059564,-1.361501692,2.108339934,-1.421715864,-0.277646607,-3.420073677,1.916407263,0.064821492,-2.166866235,0.802445092,4.189492233,-0.454525736,-0.887315093,-0.913658793
HER2_enriched,-0.168829476,1.021009631,5.18818807,-1.44914022,-4.86238835,0.291753404,-1.435432397,2.633049711,-0.82132189,-0.393637787,-0.804872501,-1.495746821,-1.608150977,0.039529446,1.445952169,-0.393637787,1.185503517,0.458988854,0.97440303,1.004560242,-2.03583508,-0.237368595,-0.229143901,0.62348274,-1.133860273,-0.344289621,-0.654086439,-0.503300377,0.881189828,1.021009631,1.604962925,2.331477587,1.349997402,-0.845995973,-0.766490594,0.352067829,0.469955114,-0.571839496,0.401415994,-1.586218459,-3.716414279,0.22595585,-0.884377879,0.708471248,-3.017315265,-0.292199891,-1.062579589,-1.240781298,-1.545094987,-0.467660035,-0.056425321,2.002489816,2.630308147,-0.24559329,-2.575923338,-4.157806206
Luminal_A,2.044284342,-0.758355637,3.158586984,1.740383621,-1.988965963,0.273406069,0.265902347,-1.332390332,0.592314232,0.22838374,1.128830319,0.093316753,-0.465710499,-1.643794774,-1.212330788,0.899966814,0.175857689,-0.150554196,-0.263110018,-0.649551675,0.104572335,4.426715917,4.156581944,1.08005613,1.23388242,0.082061171,-1.291119863,1.428979179,-0.799626105,-1.486216622,-0.109283728,-1.077263801,1.717872457,-1.970206659,-0.949700535,-0.060509538,-1.486216622,-1.531238951,-0.439447474,-0.536995853,1.845435722,-0.116787449,-1.111030548,-0.859655877,0.742388662,-0.803377966,-0.225591411,5.038269219,0.127083499,-0.413184448,-1.478712901,0.494765853,0.513525157,-1.227338231,1.068800547,-0.619536789
HER2_enriched,-0.475200254,1.005401796,1.577119419,-0.922312754,-1.061577303,0.488657021,-0.691426791,0.965088374,1.195974337,0.213792779,-1.472041238,-1.18251757,-1.713921771,9.438236737,0.232117062,-0.896658758,-0.097720028,1.067704357,-0.090390315,-2.54584421,-3.656295747,-1.079901586,-0.7244105,-0.438551688,-0.453211115,-1.18251757,1.562459993,0.386041037,0.136830791,-0.482529967,0.30907905,-1.226495849,0.635251283,-1.497695234,-0.196671156,-0.93697218,2.940446059,-0.698756504,1.20330405,-1.73591091,-3.282480378,0.807499542,-0.980950459,1.408536017,-1.625965213,0.136830791,0.023220238,-1.541673513,-0.057406606,-1.875175459,5.527834789,2.035226489,-3.670955173,-1.263144414,-1.710256914,0.972418087
