SRNO,SALES,AD,PRO,SALEXP,ADPRE,PROPRE
1,20.1137,1.98786,1,0.3,2.01722,0
2,15.1044,1.94418,0,0.3,1.98786,1
3,18.6838,2.19954,0.8,0.35,1.94418,0
4,16.0517,2.00107,0,0.35,2.19954,0.8
5,21.301,1.69292,1.3,0.3,2.00107,0
6,17.85,1.74334,0.3,0.32,1.69292,1.3
7,18.8756,2.06907,1,0.31,1.74334,0.3
8,21.266,1.01709,1,0.41,2.06907,1
9,20.4847,2.01906,0.9,0.45,1.01709,1
10,20.5403,1.06139,1,0.45,2.01906,0.9
11,26.1844,1.45999,1.5,0.5,1.06139,1
12,21.7161,1.87511,0,0.6,1.45999,1.5
13,28.696,2.27109,0.8,0.65,1.87511,0
14,25.8372,1.11191,1,0.65,2.27109,0.8
15,29.3199,1.77407,1.2,0.65,1.11191,1
16,24.1904,0.95878,1,0.65,1.77407,1.2
17,26.5897,1.9893,1,0.62,0.95878,1
18,22.2447,1.97111,0,0.6,1.9893,1
19,24.7994,2.26603,0.7,0.6,1.97111,0
20,21.1911,1.98346,0.1,0.61,2.26603,0.7
21,26.0344,2.10054,1,0.6,1.98346,0.1
22,27.393,1.06815,1,0.58,2.10054,1
