SN,AGE,EMPLOY,ADDRESS,DEBTINC,CREDDEBT,OTHDEBT,DEFAULTER
1,3,17,12,9.3,11.36,5.01,Yes
2,1,10,6,17.3,1.36,4,No
3,2,15,14,5.5,0.86,2.17,No
4,3,15,14,2.9,2.66,0.82,No
5,1,2,0,17.3,1.79,3.06,Yes
6,3,5,5,10.2,0.39,2.16,No
7,2,20,9,30.6,3.83,16.67,No
8,3,12,11,3.6,0.13,1.24,No
9,1,3,4,24.4,1.36,3.28,Yes
10,2,0,13,19.7,2.78,2.15,No
11,1,0,1,1.7,0.18,0.09,No
12,1,4,0,5.2,0.25,0.94,No
13,3,24,14,10,3.93,2.47,No
14,2,6,9,16.3,1.72,3.01,No
15,3,22,15,9.1,3.7,5.4,No
16,2,9,6,8.6,0.82,3.4,Yes
17,2,13,6,16.4,2.92,3.81,Yes
18,3,23,19,7.6,1.18,4.29,No
19,2,6,9,5.7,0.56,2.91,No
20,3,0,21,1.7,0.1,0.34,No
21,2,22,3,3.2,1.15,0.51,No
22,3,17,21,5.6,0.59,1.82,No
23,1,3,6,10,0.43,2.17,No
24,1,8,6,9.8,0.4,2.24,No
25,1,1,2,18,0.24,2.64,Yes
26,1,0,2,17.6,2.14,3.49,No
27,3,9,26,6.7,0.71,3.92,No
28,3,25,21,16.7,0.95,9.74,No
29,2,12,8,18.4,3.08,7.59,No
30,1,2,1,14.2,0.2,5.05,No
31,3,3,15,2.1,0.11,0.32,No
32,1,1,10,10.5,1.14,1.17,No
33,1,2,7,6,0.72,0.84,No
34,1,8,4,14.4,1.02,2.87,No
35,1,8,1,2.9,0.08,0.94,No
36,1,6,7,26,6.05,5.65,No
37,1,10,4,16.1,1.41,2.13,No
38,2,12,1,14.4,3.2,4.58,No
39,1,1,8,17.1,1.34,2.77,Yes
40,3,23,5,4.2,0.56,1.54,No
41,1,7,2,6.6,0.34,1.71,No
42,2,17,3,8,1.81,2.91,No
43,3,7,23,4.6,0.94,0.94,No
44,2,19,5,13.1,1.93,4.36,No
45,1,0,0,7.5,0.3,0.75,Yes
46,1,0,1,6.8,0.15,0.94,No
47,2,13,15,4.5,0.43,1.14,No
48,3,4,2,10.4,0.12,2.58,No
49,1,0,2,11.4,0.78,1.62,Yes
50,2,18,2,7.4,0.21,2.9,No
51,2,2,11,12.6,0.57,2.58,Yes
52,3,1,12,14,0.81,1.99,No
53,3,16,18,12.9,3.03,3.68,Yes
54,2,3,18,3.7,0.31,0.61,No
55,2,3,2,9.5,0.55,2.11,No
56,2,1,3,15.1,1.8,1.82,Yes
57,2,9,1,5,0.4,1.3,No
58,2,16,13,2.4,1.06,0.59,No
59,2,18,6,2.5,1.49,1.02,No
60,3,10,20,12.2,2.48,7.28,No
61,2,9,10,2.4,0.05,0.62,No
62,1,13,1,7.4,1.46,1.65,Yes
63,2,4,0,12.4,0.87,1.98,No
64,2,4,9,7,2.16,1.69,No
65,1,5,7,7.8,1.02,1.16,No
66,2,11,6,23.3,7.76,9.72,Yes
67,1,2,3,6.4,0.19,1.29,Yes
68,2,19,8,9.1,2.52,1.67,No
69,1,8,3,8.2,1.49,1.05,Yes
70,1,1,2,18.6,0.57,3.15,Yes
71,2,3,8,23.1,1.4,3.45,No
72,1,5,9,23.8,3.1,4.99,No
73,3,26,21,12.8,4.58,8.22,No
74,3,1,5,10.6,1.52,1.24,No
75,3,13,10,1.7,0.07,0.68,No
76,3,13,25,23.8,3.74,8.4,No
77,1,2,1,0.6,0.03,0.1,No
78,1,1,9,6.7,0.16,0.98,No
79,2,14,2,2.6,0.2,0.76,No
80,2,15,10,3.2,0.69,0.56,No
81,1,4,3,10.5,2.47,0.36,Yes
82,2,11,12,17,2.74,4.91,No
83,2,7,3,19.6,2.7,3.58,No
84,2,4,16,11,1.84,1.35,No
85,1,4,3,5.4,0.32,0.76,No
86,2,10,15,18.8,2.01,6.45,No
87,1,5,4,12.4,3.49,0.97,Yes
88,2,5,17,24.6,1.41,5.73,No
89,2,12,12,2.9,0.12,0.7,No
90,1,0,1,27.7,2.04,2.67,Yes
91,2,3,10,6.2,0.05,1.37,No
92,1,1,6,11.4,0.37,1.34,Yes
93,2,5,5,10.6,1.5,4.22,No
94,2,0,6,5.8,0.3,0.75,Yes
95,3,2,0,26.3,1.96,1.98,Yes
96,2,17,6,4.4,0.73,1.65,No
97,3,13,0,3.3,1.32,1.39,No
98,3,14,8,7.3,0.93,2.87,No
99,1,4,9,6.3,0.68,0.52,No
100,2,4,6,9.3,1.33,1.55,Yes
101,2,22,9,2.6,0.99,1.95,No
102,2,6,9,8.3,0.03,2.13,No
103,2,8,7,5.8,0.78,0.79,No
104,3,21,11,3.1,1.37,2.39,No
105,3,22,17,23.6,9.88,7.82,No
106,2,8,17,3.6,0.53,0.47,No
107,3,9,18,11.2,2.02,3.58,Yes
108,1,4,7,13.5,1.3,2.21,No
109,2,12,13,7.9,1.72,3.02,No
110,2,9,13,10.1,1.12,3.43,No
111,3,2,5,4.9,0.46,1.45,No
112,2,6,0,8.9,0.27,3.38,No
113,1,0,2,7.7,0.83,1.01,No
114,3,12,11,21.4,2.41,8.5,No
115,3,16,25,8.6,1.87,3.64,No
116,1,4,6,5.2,0.55,1.16,No
117,2,9,9,6.2,2.11,1.92,No
118,2,15,16,3.4,1.03,1.45,No
119,2,0,4,12.8,1.09,2.37,Yes
120,1,1,0,6.7,0.47,0.87,Yes
121,3,12,19,9.5,1.34,2.17,No
122,1,3,0,8.4,0.28,1.32,Yes
123,2,6,3,35.3,1.98,7.55,Yes
124,2,2,4,12.7,1.09,1.7,Yes
125,1,5,9,2.8,0.14,0.48,No
126,3,7,11,4.4,0.69,1.2,No
127,2,7,2,13,1.02,7.82,Yes
128,1,9,3,1.4,0.13,0.38,No
129,1,5,1,9,0.37,1.88,No
130,3,19,2,5.8,1.51,2.44,No
131,1,1,7,2.9,0.31,0.47,No
132,2,5,10,12.9,0.98,1.34,No
133,3,18,19,17.4,0.55,5.54,No
134,2,17,20,13.7,2.45,5.77,No
